grid_x,grid_y,grid_z,SS-RSRP,SS-RSRQ,SS-SINR,longitude,latitude,height,评分,服务等级
0,0,0,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,0,1,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,0,2,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,0,3,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,0,4,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,0,5,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,0,6,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,0,7,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,0,8,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,0,9,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,0,10,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,0,11,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,0,12,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,0,13,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,0,14,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,1,0,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,1,1,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,1,2,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,1,3,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,1,4,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,1,5,-86.0,-20.0,-9.0,114.4038826,22.70604096,69.67728,8.485659974192117,劣质网格
0,1,6,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,1,7,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,1,8,-82.4,-15.0,-1.4,114.40353384,22.706010274,89.08694399999999,32.95518770841714,一般网格
0,1,9,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,1,10,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
0,1,11,-82.0,-15.333333333333334,-2.6666666666666665,114.4034688,22.706080536666665,109.65688,31.57452758776453,一般网格
